Country,Military,Population
Afghanistan,,19688632
Albania,53.23204516151514,3060173
Algeria,2091.6272744932976,31200985
Angola,404.299139990661,16941587
Argentina,3183.591795897949,37480493
Armenia,66.24762645970476,3133133
Australia,7043.145895398874,19274701
Austria,1788.7983105296598,8042293
Azerbaijan,131.96366006418867,8111200
Bahrain,372.3404255319149,730257
Bangladesh,705.4816952129768,131670484
Belarus,177.69784172661872,9928549
Belgium,3036.0354717183736,10286570
Belize,7.4546625,248100
Benin,13.112535622252024,7212041
Bolivia,188.9194785527901,8746084
Bosnia and Herzegovina,,4194932
Botswana,210.32209355675928,1761930
Brazil,10930.231568374596,178211881
Brunei,217.66793918692653,340748
Bulgaria,406.0035428043081,8009142
Burkina Faso,36.83296523104501,12249764
Burundi,53.230373106377655,6465729
Cambodia,70.84694088598255,12338192
Cameroon,124.30170836749478,15493253
Canada,8375.571424881842,31020902
Central African Republic,,3844773
Chad,26.192330830965336,8538804
Chile,1893.09822376358,15523978
China,26561.462998292423,1271850000
Colombia,3264.438192230924,39837875
"Congo, Dem. Rep.",,50106657
"Congo, Rep.",54.44594353097175,3254101
Costa Rica,0.0,4053222
Cote d'Ivoire,,17245468
Croatia,629.4641037506264,4299642
Cuba,,11139127
Cyprus,327.6271602915881,964830
Czechia,1182.5199222827216,10216605
Denmark,2525.225824900695,5358783
Djibouti,26.048131622036788,765490
Dominican Republic,305.90032799263787,8669040
Ecuador,384.0,12845521
Egypt,2834.256229549459,72854261
El Salvador,150.65145907473308,5988095
Equatorial Guinea,,719270
Eritrea,166.55024536893762,2461927
Estonia,93.818539904212,1388115
Eswatini,19.665055208509987,1041396
Ethiopia,349.8082764508146,69018932
Fiji,32.811655824617965,841320
Finland,1479.270879007794,5188008
France,27951.56638441603,61367388
Gabon,90.03613723144335,1306590
"Gambia, The",2.4542302004181757,1479449
Georgia,23.82996787295829,4014373
Germany,25815.401959228337,82349925
Ghana,32.35214049880987,20195577
Greece,4428.103551646071,10862132
Guatemala,196.76557753999128,11871565
Guinea,87.71839881880076,8445717
Guinea-Bissau,6.1831635151745,1257380
Guyana,14.371052898500436,759809
Haiti,0.0,8511728
Honduras,62.95197657961574,6837861
Hungary,845.0556738455094,10187576
Iceland,0.0,284968
India,14600.642346099725,1078970907
Indonesia,919.022697814032,217112437
Iran,10378.79176571862,66674851
Iraq,,25425663
Ireland,767.7783643994237,3866243
Israel,8504.27401234054,6439000
Italy,19519.381482044904,56974100
Jamaica,46.37438228727093,2625405
Japan,40757.9672341581,127149000
Jordan,528.9266456318417,5163310
Kazakhstan,221.48620652055396,14858335
Kenya,195.36500549875768,31800343
"Korea, North",0.0,23512522
"Korea, South",12941.850827659391,47370164
Kosovo,,1701154
Kuwait,2685.7352784534683,1991674
Kyrgyz Republic,22.212067210302205,4945100
Laos,12.574570778305628,5519707
Latvia,86.9667410976613,2337170
Lebanon,958.5406301824212,4389200
Lesotho,23.390729430677485,1999473
Liberia,,2981648
Libya,819.7479936006769,5275916
Lithuania,166.875,3470818
Luxembourg,144.7122216303602,441525
Madagascar,65.0375654549594,16709665
Malawi,12.681914697641048,11498818
Malaysia,1934.4736842105265,23542517
Mali,44.88165022597706,11583824
Malta,27.11932311390497,393028
Mauritania,51.85248934979992,2761823
Mauritius,8.977215381076785,1196287
Mexico,3229.469276433956,99394288
Moldova,5.96186582304063,2918135
Mongolia,23.124715313838024,2472601
Montenegro,,607389
Morocco,1470.3176147925328,28930097
Mozambique,50.61921598176162,18220716
Myanmar,9464.417217002449,46014826
Namibia,96.75718244943188,1856402
Nepal,64.7017383751416,24956071
Netherlands,6200.391942801407,16046180
New Zealand,796.6368891224382,3880500
Nicaragua,28.193450444589025,5192764
Niger,24.828146933519225,12031430
Nigeria,570.6322877615054,126152678
North Macedonia,226.30300233255093,2034882
Norway,2965.9739869768064,4513751
Oman,1819.8959687906367,2374653
Pakistan,2842.0467904248862,159217727
Panama,0.0,3061024
Papua New Guinea,25.23076559881017,5698489
Paraguay,91.29889392508213,5211541
Peru,904.2354491093096,27014909
Philippines,1122.1039915595595,79626086
Poland,3630.645594665234,38248076
Portugal,1755.7183947868862,10362722
Qatar,,678831
Romania,985.657655673622,22131970
Russia,11683.151344772614,145976482
Rwanda,56.88590313143352,8223941
Saudi Arabia,21026.666666666668,22085929
Senegal,68.89128682102861,9938027
Serbia,494.0692264812736,7503433
Seychelles,11.065396053633435,81202
Sierra Leone,29.911134607154544,4857096
Singapore,4309.127542249906,4138012
Slovakia,393.9965983215895,5378867
Slovenia,271.48879038865914,1992060
Somalia,,9070747
South Africa,1802.262236357005,47229714
South Sudan,,6394431
Spain,10222.074075399772,40850412
Sri Lanka,675.0165020193997,18920275
Sudan,388.09131742313554,26947253
Sweden,4128.04600594437,8895960
Switzerland,2763.655325250945,7229854
Syria,1022.526577913993,16727948
Taiwan,7982.24852071006,22333125
Tajikistan,12.468225563719605,6408810
Tanzania,150.72819632775452,35414469
Thailand,1724.7996371975992,63649892
Timor-Leste,,893001
Togo,,5145426
Trinidad and Tobago,13.945440719243024,1338567
Tunisia,335.6479068054021,9995123
Turkiye,7216.051044802912,65072018
Turkmenistan,,4635094
Uganda,136.15734253784902,24763325
Ukraine,741.712830593281,48662400
United Arab Emirates,5797.957794417972,3454198
United Kingdom,39512.579943649725,59119673
United States,331805.6105721368,284968955
Uruguay,523.00831137239,3300939
Uzbekistan,59.76061046511628,24964450
Venezuela,1911.4001365285808,24880203
Viet Nam,,79817777
Yemen,540.1014987668375,19143457
Zambia,,10191964
Zimbabwe,286.7,11910978
